名称,大类,中类,经度,纬度,省份,地级市,category
兴记士多,购物消费,便利店,114.376886,22.413844,香港特别行政区,香港特别行政区,Core_Necessity
公厕,生活服务,公厕,114.34407,22.462679,香港特别行政区,香港特别行政区,Core_Necessity
公厕,生活服务,公厕,114.347534,22.458921,香港特别行政区,香港特别行政区,Core_Necessity
公厕,生活服务,公厕,114.341718,22.431056,香港特别行政区,香港特别行政区,Core_Necessity
公厕,生活服务,公厕,114.366481,22.45626,香港特别行政区,香港特别行政区,Core_Necessity
公厕,生活服务,公厕,114.356768,22.419392,香港特别行政区,香港特别行政区,Core_Necessity
公厕,生活服务,公厕,114.336829,22.434197,香港特别行政区,香港特别行政区,Core_Necessity
黄石,交通设施,轮渡,114.341796,22.432733,香港特别行政区,香港特别行政区,Transit_Link
高流湾,交通设施,轮渡,114.366341,22.456611,香港特别行政区,香港特别行政区,Transit_Link
赤径,交通设施,轮渡,114.357209,22.41939,香港特别行政区,香港特别行政区,Transit_Link
湾仔,交通设施,轮渡,114.347137,22.458456,香港特别行政区,香港特别行政区,Transit_Link
西贡东郊野公园-公厕,生活服务,公厕,114.341555,22.431411,香港特别行政区,香港特别行政区,Core_Necessity
西贡东郊野公园-公厕,生活服务,公厕,114.367163,22.448523,香港特别行政区,香港特别行政区,Core_Necessity
西贡东郊野公园-公厕,生活服务,公厕,114.337506,22.41895,香港特别行政区,香港特别行政区,Core_Necessity
Sharp peak path,旅游景点,公园,114.380211,22.424191,香港特别行政区,香港特别行政区,Social_Wellness
公厕,生活服务,公厕,114.309289,22.45483,香港特别行政区,香港特别行政区,Core_Necessity
公厕,生活服务,公厕,114.298252,22.422898,香港特别行政区,香港特别行政区,Core_Necessity
公厕,生活服务,公厕,114.331188,22.429508,香港特别行政区,香港特别行政区,Core_Necessity
公厕,生活服务,公厕,114.326236,22.447357,香港特别行政区,香港特别行政区,Core_Necessity
公厕,生活服务,公厕,114.274038,22.428829,香港特别行政区,香港特别行政区,Core_Necessity
公厕,生活服务,公厕,114.269916,22.422198,香港特别行政区,香港特别行政区,Core_Necessity
公厕,生活服务,公厕,114.267228,22.428129,香港特别行政区,香港特别行政区,Core_Necessity
公厕,生活服务,公厕,114.33237,22.438544,香港特别行政区,香港特别行政区,Core_Necessity
荔枝庄,交通设施,轮渡,114.303803,22.453949,香港特别行政区,香港特别行政区,Transit_Link
深涌,交通设施,轮渡,114.286149,22.437656,香港特别行政区,香港特别行政区,Transit_Link
井头码头旱厕,生活服务,公厕,114.274085,22.428845,香港特别行政区,香港特别行政区,Core_Necessity
大洞村公厕,生活服务,公厕,114.270077,22.42196,香港特别行政区,香港特别行政区,Core_Necessity
猴塘溪营地,旅游景点,公园,114.326296,22.433873,香港特别行政区,香港特别行政区,Social_Wellness
Pak Tam Au Launch,旅游景点,公园,114.328148,22.419932000000003,香港特别行政区,香港特别行政区,Social_Wellness
西贡西郊野生态公园,旅游景点,公园,114.319934,22.418477,香港特别行政区,香港特别行政区,Social_Wellness
海下云海士多,购物消费,便利店,114.333424,22.458257000000003,香港特别行政区,香港特别行政区,Core_Necessity
水井坊快餐厅,餐饮美食,小吃快餐,114.273299,22.423952,香港特别行政区,香港特别行政区,Rehabus_Ops
许林士多,购物消费,便利店,114.31452,22.42691,香港特别行政区,香港特别行政区,Core_Necessity
龙村乐野战茶馆,餐饮美食,茶座,114.297732,22.423369,香港特别行政区,香港特别行政区,Social_Wellness
下白泥公厕,生活服务,公厕,113.953852,22.435832,香港特别行政区,香港特别行政区,Core_Necessity
公厕,生活服务,公厕,113.963821,22.444687,香港特别行政区,香港特别行政区,Core_Necessity
中白泥公厕,生活服务,公厕,113.953356,22.431314,香港特别行政区,香港特别行政区,Core_Necessity
下白泥村公厕,生活服务,公厕,113.948082,22.423758,香港特别行政区,香港特别行政区,Core_Necessity
松山新庆村公厕,生活服务,公厕,113.981201,22.417692,香港特别行政区,香港特别行政区,Core_Necessity
中白泥公厕,生活服务,公厕,113.969186,22.448275,香港特别行政区,香港特别行政区,Core_Necessity
添记士多,购物消费,便利店,113.983589,22.416281,香港特别行政区,香港特别行政区,Core_Necessity
强记士多,购物消费,便利店,113.947887,22.423757,香港特别行政区,香港特别行政区,Core_Necessity
郑胜记士多,购物消费,便利店,113.947903,22.424085,香港特别行政区,香港特别行政区,Core_Necessity
许建华注册中医,医疗保健,诊所,113.978848,22.416692,香港特别行政区,香港特别行政区,Core_Necessity
公厕,生活服务,公厕,113.870389,22.245311,香港特别行政区,香港特别行政区,Core_Necessity
公厕,生活服务,公厕,113.866749,22.244121,香港特别行政区,香港特别行政区,Core_Necessity
众乐园,餐饮美食,小吃快餐,113.866616,22.243640000000003,香港特别行政区,香港特别行政区,Rehabus_Ops
公厕,生活服务,公厕,113.885927,22.239438,香港特别行政区,香港特别行政区,Core_Necessity
Sze Tsz Tau Shan,旅游景点,公园,113.907034,22.248265,香港特别行政区,香港特别行政区,Social_Wellness
灵隐息肩亭,旅游景点,公园,113.879511,22.241404000000003,香港特别行政区,香港特别行政区,Social_Wellness
翁松标注册中医,医疗保健,诊所,113.893146,22.247872,香港特别行政区,香港特别行政区,Core_Necessity
任宝儿注册中医,医疗保健,诊所,113.893149,22.247856,香港特别行政区,香港特别行政区,Core_Necessity
吴奕武注册中医,医疗保健,诊所,113.893055,22.247873,香港特别行政区,香港特别行政区,Core_Necessity
